Shipment_ID,Shipment_Date,Vendor_ID,Vendor_Rating,Origin,Destination,Distance_km,Weight_tons,Weather_Condition,Traffic_Density,Vehicle_Type,Actual_Delay_Days,CO2_Emission_kg
SHP-00085,2025-08-24,VEND-020,3.3,Diyarbakir,Mersin,632.0,20.9,Normal,Medium,Electric Semi,0,491.14
SHP-00086,2025-08-24,VEND-008,4.4,Adana,Kayseri,246.4,6.26,Normal,Low,Diesel Truck,0,207.47
SHP-00087,2025-08-24,VEND-016,2.5,Kocaeli,Sakarya,48.2,17.72,Normal,Low,Diesel Truck,0,121.94
SHP-00088,2025-08-25,VEND-001,4.0,Kocaeli,Samsun,688.0,19.8,Normal,Medium,Diesel Truck,0,1825.45
SHP-00089,2025-08-25,VEND-009,1.8,Denizli,Diyarbakir,1218.8,5.53,Normal,Low,Hybrid Van,0,536.59
SHP-00090,2025-08-25,VEND-011,2.7,Ankara,Erzurum,938.8,6.71,Normal,Low,Diesel Truck,0,873.39
SHP-00091,2025-08-25,VEND-025,4.1,Konya,Mersin,267.6,19.7,Normal,High,Diesel Truck,2,725.52
SHP-00092,2025-08-26,VEND-006,4.9,Bursa,Malatya,1077.1,3.06,Normal,Medium,Diesel Truck,0,471.42
SHP-00093,2025-08-26,VEND-007,4.4,Denizli,Bursa,346.7,5.58,Normal,High,Hybrid Van,0,183.31
SHP-00094,2025-08-26,VEND-011,3.1,Ankara,Erzurum,934.7,11.93,Normal,Low,Diesel Truck,0,1491.11
SHP-00095,2025-08-26,VEND-025,4.1,Samsun,Bursa,761.4,23.32,Normal,High,Electric Semi,0,678.46
SHP-00096,2025-08-26,VEND-022,3.0,Eskisehir,Malatya,832.7,14.49,Normal,Medium,Electric Semi,0,459.62
SHP-00097,2025-08-27,VEND-001,4.2,Erzurum,Adana,775.1,10.3,Normal,Medium,Electric Semi,0,289.34
SHP-00098,2025-08-27,VEND-006,5.0,Gaziantep,Van,689.0,24.48,Normal,Low,Diesel Truck,0,2154.08
SHP-00099,2025-08-27,VEND-021,4.2,Istanbul,Bursa,114.6,12.13,Normal,High,Hybrid Van,1,125.25
SHP-00100,2025-08-27,VEND-002,3.0,Eskisehir,Mersin,636.0,11.41,Rain,Medium,Hybrid Van,0,615.45
SHP-00101,2025-08-28,VEND-022,2.8,Istanbul,Erzurum,1323.5,10.88,Normal,High,Diesel Truck,1,2009.23
SHP-00102,2025-08-28,VEND-008,4.8,Ankara,Istanbul,428.5,8.49,Normal,Medium,Diesel Truck,0,516.83
SHP-00103,2025-08-28,VEND-023,5.0,Van,Gaziantep,681.0,8.82,Normal,High,Diesel Truck,0,847.58
SHP-00104,2025-08-29,VEND-008,4.2,Malatya,Ankara,604.1,17.51,Normal,Medium,Diesel Truck,0,1437.16
SHP-00105,2025-08-29,VEND-011,2.9,Eskisehir,Konya,329.4,1.98,Normal,High,Diesel Truck,1,97.65
SHP-00106,2025-08-30,VEND-017,3.3,Diyarbakir,Adana,537.4,17.36,Normal,Low,Diesel Truck,2,1221.93
SHP-00107,2025-08-30,VEND-004,3.8,Ankara,Trabzon,763.3,5.83,Normal,Low,Diesel Truck,0,566.17
SHP-00108,2025-08-31,VEND-014,4.5,Ankara,Gaziantep,645.1,10.22,Normal,Medium,Electric Semi,0,232.99
SHP-00109,2025-08-31,VEND-013,3.8,Konya,Bursa,491.7,4.52,Rain,Medium,Hybrid Van,1,194.1
SHP-00110,2025-08-31,VEND-020,3.7,Istanbul,Antalya,593.5,14.27,Normal,Medium,Electric Semi,0,319.67
SHP-00111,2025-08-31,VEND-025,4.2,Malatya,Erzurum,391.5,18.5,Normal,Medium,Electric Semi,0,268.7
SHP-00112,2025-09-01,VEND-017,3.5,Ankara,Van,1185.8,9.51,Normal,Medium,Diesel Truck,2,1556.38
SHP-00113,2025-09-01,VEND-011,2.9,Samsun,Antalya,892.6,4.92,Normal,High,Diesel Truck,0,634.32
SHP-00114,2025-09-02,VEND-011,2.5,Malatya,Bursa,1031.9,6.44,Normal,Low,Hybrid Van,0,530.24
SHP-00115,2025-09-02,VEND-011,2.9,Eskisehir,Ankara,258.5,20.63,Storm,High,Diesel Truck,3,852.88
SHP-00116,2025-09-02,VEND-021,4.1,Antalya,Van,1411.3,7.42,Storm,Low,Diesel Truck,0,1453.9
SHP-00117,2025-09-03,VEND-009,1.7,Kayseri,Eskisehir,553.0,19.59,Rain,Medium,Hybrid Van,0,956.0
SHP-00118,2025-09-03,VEND-005,1.8,Samsun,Sakarya,651.1,8.95,Normal,High,Hybrid Van,3,536.38
SHP-00119,2025-09-03,VEND-009,1.9,Sakarya,Gaziantep,903.5,5.53,Storm,Low,Diesel Truck,2,692.2
SHP-00120,2025-09-04,VEND-001,4.1,Mersin,Denizli,621.7,18.46,Normal,Low,Electric Semi,0,394.78
SHP-00121,2025-09-04,VEND-003,4.6,Gaziantep,Ankara,619.8,12.25,Normal,Low,Diesel Truck,0,978.74
SHP-00122,2025-09-04,VEND-003,4.3,Sakarya,Trabzon,983.4,1.75,Normal,Medium,Diesel Truck,0,230.39
SHP-00123,2025-09-05,VEND-020,3.6,Malatya,Kocaeli,961.7,24.04,Normal,Medium,Diesel Truck,0,3089.91
SHP-00124,2025-09-05,VEND-019,4.3,Kayseri,Konya,355.0,4.55,Rain,Low,Diesel Truck,0,233.29
SHP-00125,2025-09-05,VEND-018,1.7,Istanbul,Eskisehir,234.6,9.48,Storm,High,Electric Semi,2,91.3
SHP-00126,2025-09-05,VEND-012,4.7,Samsun,Denizli,890.3,10.24,Rain,Low,Electric Semi,0,343.33
SHP-00127,2025-09-06,VEND-018,1.5,Malatya,Mersin,474.2,12.75,Rain,Medium,Diesel Truck,0,839.46
SHP-00128,2025-09-06,VEND-005,1.9,Van,Bursa,1531.6,19.85,Normal,Medium,Hybrid Van,1,2694.31
SHP-00129,2025-09-06,VEND-023,4.9,Mersin,Istanbul,881.3,1.15,Normal,Low,Diesel Truck,0,136.9
SHP-00130,2025-09-06,VEND-013,3.5,Bursa,Erzurum,1260.8,23.38,Rain,Low,Diesel Truck,0,3938.19
SHP-00131,2025-09-06,VEND-024,4.3,Kocaeli,Gaziantep,960.0,16.5,Normal,High,Diesel Truck,0,2211.83
SHP-00132,2025-09-07,VEND-004,3.9,Diyarbakir,Gaziantep,337.5,23.82,Rain,Medium,Diesel Truck,0,1104.81
SHP-00133,2025-09-07,VEND-013,3.8,Erzurum,Trabzon,231.6,20.62,Normal,Low,Diesel Truck,0,654.07
SHP-00134,2025-09-07,VEND-018,1.7,Ankara,Gaziantep,609.3,23.27,Normal,High,Diesel Truck,3,2065.3
SHP-00135,2025-09-08,VEND-013,3.8,Gaziantep,Mersin,319.1,15.42,Normal,Medium,Hybrid Van,0,426.31
SHP-00136,2025-09-08,VEND-012,4.7,Kayseri,Eskisehir,556.1,9.58,Normal,Low,Electric Semi,0,180.54
SHP-00137,2025-09-09,VEND-005,1.9,Ankara,Trabzon,746.7,11.63,Rain,Medium,Electric Semi,0,333.62
SHP-00138,2025-09-10,VEND-010,2.9,Malatya,Trabzon,398.4,16.79,Storm,Medium,Diesel Truck,1,956.98
SHP-00139,2025-09-10,VEND-006,4.7,Izmir,Istanbul,391.2,11.25,Normal,Low,Hybrid Van,0,341.79
SHP-00140,2025-09-10,VEND-008,4.1,Denizli,Mersin,628.0,18.56,Normal,High,Diesel Truck,0,1687.56
SHP-00141,2025-09-11,VEND-018,1.7,Erzurum,Kayseri,627.1,3.2,Normal,Low,Diesel Truck,0,270.72
SHP-00142,2025-09-11,VEND-016,2.5,Denizli,Trabzon,1206.1,20.92,Normal,Low,Hybrid Van,0,2025.77
SHP-00143,2025-09-11,VEND-016,2.2,Sakarya,Izmir,482.7,5.9,Normal,Low,Hybrid Van,0,236.83
SHP-00144,2025-09-11,VEND-010,2.7,Gaziantep,Bursa,1001.3,23.65,Normal,High,Diesel Truck,2,3484.12
SHP-00145,2025-09-11,VEND-024,4.3,Diyarbakir,Eskisehir,1039.1,4.73,Normal,Medium,Diesel Truck,0,702.49
SHP-00146,2025-09-11,VEND-003,4.4,Mersin,Denizli,601.4,4.1,Normal,High,Hybrid Van,0,213.48
SHP-00147,2025-09-12,VEND-009,1.8,Ankara,Diyarbakir,819.1,20.49,Normal,Low,Hybrid Van,0,1407.35
SHP-00148,2025-09-12,VEND-003,4.4,Adana,Gaziantep,221.7,20.65,Rain,High,Electric Semi,0,193.59
SHP-00149,2025-09-12,VEND-009,1.9,Konya,Van,1206.2,18.73,Normal,Medium,Diesel Truck,1,3029.13
SHP-00150,2025-09-13,VEND-025,4.2,Samsun,Gaziantep,578.1,24.05,Normal,Low,Diesel Truck,0,1724.56
SHP-00151,2025-09-13,VEND-010,3.3,Gaziantep,Denizli,955.2,7.49,Normal,Low,Electric Semi,0,241.45
SHP-00152,2025-09-13,VEND-023,4.8,Kayseri,Bursa,698.1,20.84,Rain,High,Diesel Truck,0,2122.08
SHP-00153,2025-09-13,VEND-013,3.7,Mersin,Erzurum,805.9,9.45,Rain,Low,Hybrid Van,0,669.83
SHP-00154,2025-09-13,VEND-018,1.8,Konya,Adana,348.5,13.9,Normal,Medium,Diesel Truck,2,663.59
SHP-00155,2025-09-14,VEND-012,4.5,Denizli,Diyarbakir,1198.2,11.69,Normal,Medium,Hybrid Van,0,1147.88
SHP-00156,2025-09-14,VEND-007,4.3,Konya,Adana,333.4,1.14,Rain,Low,Hybrid Van,0,34.71
SHP-00157,2025-09-14,VEND-020,3.7,Sakarya,Diyarbakir,1182.7,14.79,Normal,High,Diesel Truck,0,2410.57
SHP-00158,2025-09-14,VEND-025,4.2,Gaziantep,Kayseri,324.0,18.94,Normal,High,Electric Semi,0,244.15
SHP-00159,2025-09-15,VEND-007,4.4,Malatya,Ankara,640.6,5.19,Storm,Medium,Hybrid Van,0,302.4
SHP-00160,2025-09-15,VEND-020,3.6,Adana,Bursa,776.5,23.36,Normal,Medium,Diesel Truck,0,2615.73
SHP-00161,2025-09-15,VEND-007,4.5,Istanbul,Denizli,453.3,13.73,Normal,Medium,Electric Semi,1,232.41
SHP-00162,2025-09-16,VEND-018,1.7,Izmir,Antalya,467.8,5.28,Rain,Medium,Diesel Truck,1,361.31
SHP-00163,2025-09-16,VEND-020,3.5,Diyarbakir,Gaziantep,351.3,16.5,Normal,Low,Diesel Truck,0,756.01
SHP-00164,2025-09-16,VEND-012,4.7,Malatya,Samsun,441.9,5.61,Normal,Medium,Hybrid Van,0,203.53
SHP-00165,2025-09-16,VEND-019,4.2,Antalya,Gaziantep,733.1,2.52,Normal,Low,Diesel Truck,2,241.66
SHP-00166,2025-09-17,VEND-007,4.1,Trabzon,Izmir,1365.0,17.45,Rain,Medium,Diesel Truck,0,3188.94
SHP-00167,2025-09-17,VEND-002,3.1,Kocaeli,Trabzon,989.6,3.66,Rain,Medium,Electric Semi,0,141.15
SHP-00168,2025-09-17,VEND-003,4.6,Izmir,Eskisehir,418.6,3.55,Rain,Low,Diesel Truck,0,204.83
SHP-00169,2025-09-17,VEND-012,4.6,Kayseri,Eskisehir,541.9,18.76,Normal,High,Hybrid Van,3,924.7
SHP-00170,2025-09-18,VEND-023,5.0,Denizli,Erzurum,1329.1,2.32,Rain,Low,Hybrid Van,0,259.25
SHP-00171,2025-09-18,VEND-004,4.1,Van,Izmir,1693.1,20.43,Rain,Low,Diesel Truck,0,4599.09
SHP-00172,2025-09-18,VEND-012,4.9,Diyarbakir,Mersin,637.1,20.11,Normal,Medium,Diesel Truck,0,1679.44
SHP-00173,2025-09-18,VEND-018,1.8,Ankara,Gaziantep,610.5,4.39,Normal,Medium,Diesel Truck,2,374.02
SHP-00174,2025-09-18,VEND-006,5.0,Antalya,Erzurum,1214.3,13.44,Normal,Low,Electric Semi,0,568.95
SHP-00175,2025-09-19,VEND-019,4.1,Mersin,Kocaeli,722.9,3.32,Rain,Medium,Diesel Truck,0,352.07
SHP-00176,2025-09-19,VEND-008,4.3,Bursa,Ankara,424.2,16.18,Normal,Medium,Electric Semi,0,246.0
SHP-00177,2025-09-19,VEND-021,4.1,Kocaeli,Eskisehir,145.3,2.51,Normal,Low,Hybrid Van,0,33.79
SHP-00178,2025-09-19,VEND-015,3.1,Istanbul,Ankara,437.8,23.67,Rain,High,Diesel Truck,0,1610.97
SHP-00179,2025-09-19,VEND-014,4.3,Izmir,Konya,570.8,5.99,Storm,Low,Diesel Truck,0,492.68
SHP-00180,2025-09-20,VEND-005,1.8,Istanbul,Eskisehir,226.2,17.39,Storm,Medium,Electric Semi,1,160.01
SHP-00181,2025-09-20,VEND-012,5.0,Gaziantep,Samsun,579.5,4.08,Normal,Low,Diesel Truck,0,320.78
SHP-00182,2025-09-20,VEND-022,2.7,Sakarya,Eskisehir,130.9,6.03,Normal,Medium,Hybrid Van,0,73.81
SHP-00183,2025-09-20,VEND-001,4.3,Bursa,Kocaeli,118.7,11.82,Normal,High,Electric Semi,0,56.29
SHP-00184,2025-09-21,VEND-019,4.4,Van,Diyarbakir,352.1,14.75,Normal,Low,Diesel Truck,0,697.5
SHP-00185,2025-09-21,VEND-013,3.8,Gaziantep,Kocaeli,968.8,24.97,Rain,Low,Diesel Truck,0,3243.87
SHP-00186,2025-09-21,VEND-018,1.7,Istanbul,Izmir,393.3,1.62,Normal,Low,Diesel Truck,2,88.72
SHP-00187,2025-09-21,VEND-017,3.5,Konya,Ankara,287.6,1.01,Normal,Low,Electric Semi,1,11.24
SHP-00188,2025-09-22,VEND-011,3.0,Eskisehir,Sakarya,138.1,9.41,Normal,High,Hybrid Van,0,123.27
SHP-00189,2025-09-22,VEND-008,4.5,Izmir,Istanbul,399.3,9.79,Normal,Medium,Hybrid Van,0,319.44
SHP-00190,2025-09-22,VEND-016,2.3,Ankara,Mersin,468.9,22.21,Rain,Medium,Diesel Truck,0,1491.46
SHP-00191,2025-09-22,VEND-004,4.0,Diyarbakir,Istanbul,1226.8,22.9,Normal,High,Electric Semi,0,1096.78
SHP-00192,2025-09-22,VEND-015,2.9,Kocaeli,Gaziantep,927.6,22.13,Normal,High,Diesel Truck,0,3025.34
SHP-00193,2025-09-23,VEND-003,4.5,Konya,Trabzon,887.3,4.44,Normal,High,Hybrid Van,0,345.66
SHP-00194,2025-09-23,VEND-017,3.5,Sakarya,Bursa,168.4,10.89,Normal,Low,Diesel Truck,0,240.56
SHP-00195,2025-09-23,VEND-016,2.4,Diyarbakir,Mersin,668.8,18.9,Normal,Low,Diesel Truck,0,1669.99
SHP-00196,2025-09-23,VEND-003,4.5,Adana,Van,953.0,8.5,Rain,Low,Electric Semi,1,290.99
SHP-00197,2025-09-24,VEND-019,4.5,Kocaeli,Ankara,328.1,16.92,Normal,Low,Diesel Truck,0,702.74
SHP-00198,2025-09-24,VEND-011,2.9,Istanbul,Izmir,393.0,6.69,Normal,Medium,Hybrid Van,0,235.87
SHP-00199,2025-09-25,VEND-020,3.9,Konya,Gaziantep,542.1,8.76,Rain,Low,Diesel Truck,1,628.81
SHP-00200,2025-09-25,VEND-002,3.0,Kocaeli,Diyarbakir,1144.7,21.65,Normal,Medium,Diesel Truck,0,3258.82
SHP-00201,2025-09-25,VEND-005,1.7,Bursa,Mersin,730.0,7.01,Normal,Medium,Hybrid Van,0,426.8
SHP-00202,2025-09-25,VEND-013,3.9,Van,Trabzon,502.8,24.14,Normal,Low,Hybrid Van,0,1011.65
SHP-00203,2025-09-25,VEND-005,1.4,Van,Istanbul,1568.8,8.35,Normal,Low,Diesel Truck,0,1599.72
SHP-00204,2025-09-26,VEND-009,2.0,Gaziantep,Eskisehir,822.9,1.56,Normal,Medium,Hybrid Van,1,114.86
SHP-00205,2025-09-26,VEND-017,2.9,Adana,Ankara,471.7,7.12,Rain,Medium,Hybrid Van,2,284.11
SHP-00206,2025-09-27,VEND-004,3.6,Bursa,Eskisehir,169.2,5.11,Rain,Medium,Diesel Truck,0,130.0
SHP-00207,2025-09-27,VEND-017,3.5,Samsun,Izmir,1042.8,13.16,Normal,Medium,Diesel Truck,0,1825.91
SHP-00208,2025-09-28,VEND-003,4.6,Izmir,Malatya,1259.1,3.71,Normal,Low,Diesel Truck,0,652.03
SHP-00209,2025-09-28,VEND-005,1.6,Adana,Gaziantep,222.9,16.03,Normal,Low,Hybrid Van,0,290.93
SHP-00210,2025-09-28,VEND-015,3.0,Kocaeli,Bursa,123.6,22.0,Normal,Low,Diesel Truck,0,353.82
SHP-00211,2025-09-29,VEND-020,3.9,Trabzon,Konya,862.2,9.7,Normal,Low,Diesel Truck,0,1085.34
SHP-00212,2025-09-29,VEND-005,1.7,Kocaeli,Istanbul,106.2,5.04,Normal,Medium,Hybrid Van,0,48.82
SHP-00213,2025-09-29,VEND-008,4.6,Antalya,Bursa,474.1,10.6,Normal,High,Diesel Truck,0,731.32
