Shipment_ID,Date_ID,Vendor_ID,Route_ID,Weight_tons,Distance_km,Actual_Delay_Days,CO2_Emission_kg
SHP-00114,20250902,VEND-011,RT-00962,6.44,679.1,0,576.46
SHP-00115,20250902,VEND-011,RT-00497,20.63,992.9,3,3269.52
SHP-00116,20250902,VEND-021,RT-00214,7.42,638.0,0,703.0
SHP-00117,20250903,VEND-009,RT-00779,19.59,595.7,1,1640.9
SHP-00118,20250903,VEND-005,RT-01216,8.95,1045.2,1,833.2
SHP-00119,20250903,VEND-009,RT-01114,5.53,494.3,0,104.37
SHP-00120,20250904,VEND-001,RT-01032,18.46,505.3,0,761.06
SHP-00121,20250904,VEND-003,RT-00558,12.25,400.6,0,175.29
SHP-00122,20250904,VEND-003,RT-01147,1.75,646.5,0,102.2
SHP-00123,20250905,VEND-020,RT-00999,24.04,676.6,0,2082.34
SHP-00124,20250905,VEND-019,RT-00797,4.55,809.5,0,305.45
SHP-00125,20250905,VEND-018,RT-00653,9.48,545.1,2,500.92
SHP-00126,20250905,VEND-012,RT-01169,10.24,300.5,0,112.39
SHP-00127,20250906,VEND-018,RT-01006,12.75,1046.9,0,1814.74
SHP-00128,20250906,VEND-005,RT-01304,19.85,447.9,1,312.51
SHP-00129,20250906,VEND-023,RT-01050,1.15,1111.4,0,178.37
SHP-00130,20250906,VEND-013,RT-00233,23.38,288.5,0,890.72
SHP-00131,20250906,VEND-024,RT-00850,16.5,694.1,1,419.28
SHP-00132,20250907,VEND-004,RT-00381,23.82,667.1,0,1401.12
SHP-00133,20250907,VEND-013,RT-00489,20.62,1002.9,1,2733.5
SHP-00134,20250907,VEND-018,RT-00095,23.27,209.7,2,704.14
SHP-00135,20250908,VEND-013,RT-00608,15.42,1096.4,0,1372.07
SHP-00136,20250908,VEND-012,RT-00778,9.58,661.1,0,828.5
SHP-00137,20250909,VEND-005,RT-00134,11.63,724.0,2,1224.19
SHP-00138,20250910,VEND-010,RT-01019,16.79,636.7,4,401.5
SHP-00139,20250910,VEND-006,RT-00720,11.25,91.4,0,82.21
SHP-00140,20250910,VEND-008,RT-00334,18.56,621.7,0,1627.6
SHP-00141,20250911,VEND-018,RT-00462,3.2,353.1,0,154.77
SHP-00142,20250911,VEND-016,RT-00342,20.92,444.1,0,1197.67
SHP-00143,20250911,VEND-016,RT-01118,5.9,796.5,0,630.85
SHP-00144,20250911,VEND-010,RT-00565,23.65,622.4,0,1342.19
SHP-00145,20250911,VEND-024,RT-00376,4.73,157.2,0,66.58
SHP-00146,20250911,VEND-003,RT-01029,4.1,134.0,0,88.83
SHP-00147,20250912,VEND-009,RT-00083,20.49,263.5,0,715.68
SHP-00148,20250912,VEND-003,RT-00025,20.65,269.5,0,829.0
SHP-00149,20250912,VEND-009,RT-00952,18.73,749.5,0,1832.3
SHP-00150,20250913,VEND-025,RT-01182,24.05,254.5,0,778.91
SHP-00151,20250913,VEND-010,RT-00567,7.49,1064.0,0,1001.71
SHP-00152,20250913,VEND-023,RT-00766,20.84,291.2,0,552.12
SHP-00153,20250913,VEND-013,RT-01040,9.45,154.8,0,205.54
SHP-00154,20250913,VEND-018,RT-00895,13.9,1057.1,2,513.09
SHP-00155,20250914,VEND-012,RT-00301,11.69,389.6,0,625.44
SHP-00156,20250914,VEND-007,RT-00896,1.14,539.2,0,53.33
SHP-00157,20250914,VEND-020,RT-01107,14.79,1152.9,3,1456.65
SHP-00158,20250914,VEND-025,RT-00592,18.94,1136.0,0,3027.68
SHP-00159,20250915,VEND-007,RT-00957,5.19,872.2,0,647.44
SHP-00160,20250915,VEND-020,RT-00012,23.36,129.3,0,113.53
SHP-00161,20250915,VEND-007,RT-00638,13.73,732.3,0,1360.79
SHP-00162,20250916,VEND-018,RT-00697,5.28,1187.4,1,903.19
SHP-00163,20250916,VEND-020,RT-00377,16.5,1139.0,0,2418.54
SHP-00164,20250916,VEND-012,RT-01017,5.61,171.9,0,83.37
SHP-00165,20250916,VEND-019,RT-00171,2.52,505.4,0,183.32
SHP-00166,20250917,VEND-007,RT-01268,17.45,412.9,0,962.65
SHP-00167,20250917,VEND-002,RT-00887,3.66,199.2,0,114.34
SHP-00168,20250917,VEND-003,RT-00711,3.55,849.0,0,115.67
SHP-00169,20250917,VEND-012,RT-00777,18.76,364.9,0,1010.4
SHP-00170,20250918,VEND-023,RT-00307,2.32,446.6,0,88.61
SHP-00171,20250918,VEND-004,RT-01328,20.43,153.9,0,119.81
SHP-00172,20250918,VEND-012,RT-00406,20.11,622.7,0,1684.94
SHP-00173,20250918,VEND-018,RT-00096,4.39,231.9,1,142.87
SHP-00174,20250918,VEND-006,RT-00167,13.44,546.9,0,585.13
SHP-00175,20250919,VEND-019,RT-01065,3.32,214.8,0,64.28
SHP-00176,20250919,VEND-008,RT-00220,16.18,1146.9,1,2445.72
SHP-00177,20250919,VEND-021,RT-00847,2.51,216.7,0,81.33
SHP-00178,20250919,VEND-015,RT-00625,23.67,650.2,0,2223.08
SHP-00179,20250919,VEND-014,RT-00731,5.99,276.5,0,240.96
SHP-00180,20250920,VEND-005,RT-00650,17.39,137.8,2,343.35
SHP-00181,20250920,VEND-012,RT-00614,4.08,282.7,0,158.09
SHP-00182,20250920,VEND-022,RT-01110,6.03,113.0,0,96.96
SHP-00183,20250920,VEND-001,RT-00258,11.82,210.3,0,215.24
SHP-00184,20250921,VEND-019,RT-01307,14.75,617.5,0,730.25
SHP-00185,20250921,VEND-013,RT-00599,24.97,799.6,0,1701.62
SHP-00186,20250921,VEND-018,RT-00658,1.62,150.4,2,10.16
SHP-00187,20250921,VEND-017,RT-00899,1.01,557.2,1,21.52
SHP-00188,20250922,VEND-011,RT-00541,9.41,718.4,0,971.7
SHP-00189,20250922,VEND-008,RT-00719,9.79,319.4,0,114.22
SHP-00190,20250922,VEND-016,RT-00125,22.21,477.9,2,1521.94
SHP-00191,20250922,VEND-004,RT-00382,22.9,132.6,0,435.54
SHP-00192,20250922,VEND-015,RT-00851,22.13,303.2,0,609.76
SHP-00193,20250923,VEND-003,RT-00951,4.44,586.8,2,242.34
SHP-00194,20250923,VEND-017,RT-01093,10.89,1189.0,0,1648.58
SHP-00195,20250923,VEND-016,RT-00408,18.9,1195.7,1,775.95
SHP-00196,20250923,VEND-003,RT-00070,8.5,1176.6,0,1325.33
SHP-00197,20250924,VEND-019,RT-00820,16.92,536.5,0,1135.8
SHP-00198,20250924,VEND-011,RT-00655,6.69,142.8,0,135.54
SHP-00199,20250925,VEND-020,RT-00921,8.76,422.1,0,523.0
SHP-00200,20250925,VEND-002,RT-00843,21.65,323.4,0,248.38
SHP-00201,20250925,VEND-005,RT-00270,7.01,66.2,0,73.89
SHP-00202,20250925,VEND-013,RT-01346,24.14,159.5,0,501.93
SHP-00203,20250925,VEND-005,RT-01326,8.35,571.2,0,410.01
SHP-00204,20250926,VEND-009,RT-00578,1.56,440.6,0,99.18
SHP-00205,20250926,VEND-017,RT-00002,7.12,257.4,0,262.64
SHP-00206,20250927,VEND-004,RT-00236,5.11,873.5,0,612.94
SHP-00207,20250927,VEND-017,RT-01190,13.16,460.7,0,810.93
SHP-00208,20250928,VEND-003,RT-00735,3.71,1029.6,0,524.83
SHP-00209,20250928,VEND-005,RT-00028,16.03,327.1,0,187.65
SHP-00210,20250928,VEND-015,RT-00835,22.0,669.2,0,1218.27
SHP-00211,20250929,VEND-020,RT-01276,9.7,261.8,0,324.78
SHP-00212,20250929,VEND-005,RT-00853,5.04,619.6,0,438.98
SHP-00213,20250929,VEND-008,RT-00152,10.6,225.3,0,340.1
SHP-00214,20250929,VEND-024,RT-01130,19.86,235.8,0,392.52
SHP-00215,20250929,VEND-025,RT-00313,15.2,754.1,0,1554.1
SHP-00216,20250929,VEND-015,RT-01132,3.43,353.4,0,173.38
SHP-00217,20250930,VEND-012,RT-00775,13.89,248.2,0,300.2
SHP-00218,20250930,VEND-009,RT-00994,12.23,1119.2,0,490.92
SHP-00219,20250930,VEND-016,RT-00056,8.85,99.5,0,125.68
SHP-00220,20250930,VEND-015,RT-00363,3.64,699.9,2,389.56
SHP-00221,20251001,VEND-008,RT-00202,24.55,680.5,0,2101.97
SHP-00222,20251001,VEND-001,RT-00145,5.23,338.2,0,162.89
SHP-00223,20251001,VEND-004,RT-01186,5.63,570.7,0,494.71
SHP-00224,20251001,VEND-024,RT-00820,4.49,150.9,0,95.02
SHP-00225,20251002,VEND-011,RT-00533,14.68,879.5,2,447.92
SHP-00226,20251002,VEND-013,RT-00557,11.65,305.0,0,450.42
SHP-00227,20251002,VEND-012,RT-00976,6.99,272.4,0,251.99
SHP-00228,20251003,VEND-020,RT-00918,11.31,412.1,0,399.64
SHP-00229,20251003,VEND-002,RT-01206,17.16,1087.7,3,2759.64
SHP-00230,20251003,VEND-003,RT-00453,7.76,965.9,0,592.45
SHP-00231,20251003,VEND-007,RT-01217,22.97,1138.9,1,2053.73
SHP-00232,20251003,VEND-013,RT-00346,8.35,799.8,0,925.56
SHP-00233,20251003,VEND-017,RT-00459,5.76,812.4,0,174.7
SHP-00234,20251004,VEND-013,RT-01309,23.91,602.0,1,1305.57
SHP-00235,20251004,VEND-012,RT-00776,20.45,1091.0,0,864.94
SHP-00236,20251004,VEND-024,RT-01057,9.24,637.5,1,220.04
SHP-00237,20251004,VEND-005,RT-00219,21.19,458.3,1,1432.32
SHP-00238,20251004,VEND-015,RT-01176,13.45,786.4,1,1427.89
SHP-00239,20251004,VEND-014,RT-00428,9.32,678.1,0,215.41
SHP-00240,20251005,VEND-012,RT-00810,21.15,192.6,2,575.81
SHP-00241,20251005,VEND-021,RT-00898,19.05,501.6,0,1358.3
SHP-00242,20251005,VEND-007,RT-00707,8.15,410.3,0,500.28
SHP-00243,20251005,VEND-024,RT-00006,15.56,1023.9,0,2201.46
SHP-00244,20251006,VEND-009,RT-00150,9.87,485.7,3,414.53
SHP-00245,20251006,VEND-014,RT-01295,1.03,994.8,0,89.77
SHP-00246,20251007,VEND-014,RT-01165,24.08,558.7,0,1102.91
SHP-00247,20251007,VEND-022,RT-00723,14.19,916.5,0,1755.77
SHP-00248,20251007,VEND-011,RT-00103,15.36,205.6,1,439.22
SHP-00249,20251007,VEND-008,RT-01012,15.4,1113.3,0,1463.86
SHP-00250,20251008,VEND-001,RT-00467,14.22,602.6,0,1152.33
SHP-00251,20251008,VEND-010,RT-01113,7.96,348.8,0,100.42
SHP-00252,20251008,VEND-021,RT-00750,24.32,327.7,0,305.96
SHP-00253,20251009,VEND-001,RT-00079,15.92,354.8,0,834.29
SHP-00254,20251009,VEND-023,RT-00226,17.1,471.7,0,1171.75
SHP-00255,20251009,VEND-014,RT-01098,11.92,875.1,1,421.46
SHP-00256,20251009,VEND-004,RT-01102,7.91,1142.0,0,1238.68
SHP-00257,20251010,VEND-008,RT-00418,2.54,819.4,0,180.21
SHP-00258,20251010,VEND-014,RT-00140,9.41,679.2,0,236.81
SHP-00259,20251010,VEND-008,RT-00275,5.23,565.9,0,417.04
SHP-00260,20251010,VEND-003,RT-00490,16.89,1002.4,0,652.76
SHP-00261,20251011,VEND-017,RT-00471,22.1,1027.1,0,2976.82
SHP-00262,20251011,VEND-017,RT-00521,8.27,387.0,1,408.69
SHP-00263,20251011,VEND-003,RT-00700,8.99,1146.4,0,921.21
SHP-00264,20251011,VEND-008,RT-00123,17.09,504.4,0,305.8
SHP-00265,20251012,VEND-007,RT-00129,4.58,970.1,0,181.87
SHP-00266,20251012,VEND-017,RT-00329,23.31,1161.8,2,2489.9
SHP-00267,20251012,VEND-019,RT-00370,9.73,859.2,0,1205.04
SHP-00268,20251012,VEND-019,RT-01265,3.43,235.8,0,126.21
SHP-00269,20251012,VEND-024,RT-00584,5.19,724.1,0,499.31
SHP-00270,20251012,VEND-020,RT-01122,23.39,186.6,0,605.2
SHP-00271,20251012,VEND-009,RT-00133,6.93,957.5,2,977.75
SHP-00272,20251012,VEND-003,RT-00373,16.89,373.5,0,895.77
SHP-00273,20251012,VEND-016,RT-00978,4.75,849.5,0,166.13
SHP-00274,20251012,VEND-023,RT-00500,5.66,1096.6,0,795.53
SHP-00275,20251012,VEND-025,RT-01009,22.1,258.2,0,206.93
SHP-00276,20251013,VEND-006,RT-00865,4.55,501.8,0,192.71
SHP-00277,20251013,VEND-006,RT-00774,1.45,794.2,0,109.71
SHP-00278,20251013,VEND-001,RT-00906,13.03,532.6,0,851.01
SHP-00279,20251013,VEND-004,RT-00455,21.71,251.0,0,500.91
SHP-00280,20251014,VEND-014,RT-00290,8.82,83.4,1,61.13
SHP-00281,20251014,VEND-014,RT-00284,4.08,517.6,0,296.17
SHP-00282,20251014,VEND-010,RT-01294,24.57,796.6,3,2808.74
SHP-00283,20251014,VEND-008,RT-00091,17.24,710.1,0,1695.06
SHP-00284,20251014,VEND-021,RT-00848,21.42,229.7,0,181.33
SHP-00285,20251014,VEND-012,RT-00249,19.05,568.3,0,398.84
SHP-00286,20251014,VEND-021,RT-00331,17.76,474.9,0,1172.4
SHP-00287,20251016,VEND-025,RT-01059,10.23,365.3,0,303.78
SHP-00288,20251016,VEND-008,RT-01054,8.78,888.7,0,1027.81
SHP-00289,20251016,VEND-006,RT-00339,18.21,406.1,0,1112.74
SHP-00290,20251016,VEND-024,RT-01115,18.2,671.2,0,1051.09
SHP-00291,20251016,VEND-016,RT-00030,23.81,1111.7,0,2237.31
SHP-00292,20251017,VEND-008,RT-01305,14.65,670.2,0,812.67
SHP-00293,20251017,VEND-016,RT-00811,8.07,759.6,1,928.54
SHP-00294,20251017,VEND-013,RT-00243,12.75,134.2,0,232.58
SHP-00295,20251017,VEND-023,RT-00654,15.73,254.9,0,561.52
SHP-00296,20251017,VEND-007,RT-00188,11.24,166.1,0,268.81
SHP-00297,20251017,VEND-025,RT-00323,19.99,929.5,0,2479.89
SHP-00298,20251018,VEND-024,RT-01179,15.03,1011.3,0,1301.6
SHP-00299,20251018,VEND-005,RT-00903,1.23,264.4,0,13.08
SHP-00300,20251018,VEND-005,RT-00769,14.68,302.2,1,649.06
SHP-00301,20251018,VEND-014,RT-00374,16.21,421.7,0,966.99
SHP-00302,20251018,VEND-002,RT-00817,22.97,729.7,1,2307.02
SHP-00303,20251018,VEND-008,RT-00097,10.93,765.1,1,1325.88
SHP-00304,20251018,VEND-011,RT-00665,14.79,839.8,0,436.88
SHP-00305,20251019,VEND-025,RT-00790,12.4,1091.0,0,1790.96
SHP-00306,20251019,VEND-025,RT-01026,13.76,389.3,2,487.46
SHP-00307,20251019,VEND-004,RT-01014,2.62,807.6,3,332.98
SHP-00308,20251019,VEND-023,RT-00857,22.53,693.7,0,2332.78
SHP-00309,20251019,VEND-003,RT-01145,22.85,401.7,0,834.7
SHP-00310,20251020,VEND-019,RT-00845,14.15,1093.5,0,2129.24
SHP-00311,20251021,VEND-022,RT-00932,14.36,159.8,0,311.11
SHP-00312,20251021,VEND-023,RT-00338,2.38,868.8,0,77.58
SHP-00313,20251021,VEND-006,RT-01260,15.35,887.1,0,1994.81
SHP-00314,20251021,VEND-023,RT-00516,11.3,1102.6,0,1762.41
SHP-00315,20251021,VEND-003,RT-00230,18.02,646.4,0,1526.68
SHP-00316,20251021,VEND-013,RT-01253,2.13,419.9,0,126.52
SHP-00317,20251021,VEND-012,RT-00609,18.06,1001.9,0,2330.26
SHP-00318,20251021,VEND-008,RT-01146,7.89,936.4,2,1037.66
SHP-00319,20251021,VEND-001,RT-01124,16.64,625.4,1,923.09
SHP-00320,20251022,VEND-020,RT-01255,16.05,933.0,0,1222.01
SHP-00321,20251022,VEND-009,RT-00442,6.44,358.1,0,321.92
SHP-00322,20251022,VEND-017,RT-01152,11.57,727.9,0,1203.77
SHP-00323,20251023,VEND-011,RT-00655,21.06,1045.0,0,2901.85
SHP-00324,20251023,VEND-010,RT-01266,15.53,415.7,0,931.46
SHP-00325,20251023,VEND-023,RT-01088,2.65,606.1,0,216.14
SHP-00326,20251023,VEND-003,RT-00693,11.63,1143.7,0,1054.2
SHP-00327,20251024,VEND-019,RT-00714,8.48,967.9,0,1101.07
SHP-00328,20251024,VEND-019,RT-00590,16.4,1070.1,0,2306.3
SHP-00329,20251024,VEND-010,RT-00423,15.75,493.0,0,268.92
SHP-00330,20251024,VEND-007,RT-01158,1.25,1196.0,0,121.51
SHP-00331,20251024,VEND-001,RT-01331,15.58,225.5,0,460.72
SHP-00332,20251024,VEND-024,RT-01001,18.64,646.6,0,1605.82
SHP-00333,20251024,VEND-024,RT-00836,19.45,601.2,0,1077.42
SHP-00334,20251025,VEND-007,RT-00308,2.42,968.2,0,327.1
SHP-00335,20251025,VEND-001,RT-00954,8.29,1094.9,0,344.02
SHP-00336,20251025,VEND-004,RT-00088,11.11,890.8,0,417.29
SHP-00337,20251025,VEND-002,RT-00068,5.31,770.8,0,549.14
SHP-00338,20251026,VEND-021,RT-00886,11.1,541.5,0,834.34
SHP-00339,20251027,VEND-023,RT-00226,2.71,636.9,0,251.88
SHP-00340,20251027,VEND-004,RT-00182,3.72,635.7,1,363.06
SHP-00341,20251027,VEND-019,RT-00668,17.05,73.4,0,172.35
SHP-00342,20251027,VEND-005,RT-00544,7.3,628.5,2,368.86
SHP-00343,20251027,VEND-010,RT-00960,18.07,1034.4,2,734.55
SHP-00344,20251027,VEND-015,RT-00401,2.15,865.7,0,153.06
SHP-00345,20251027,VEND-018,RT-00067,14.5,965.1,0,1138.31
SHP-00346,20251028,VEND-022,RT-00854,10.39,499.1,0,178.16
SHP-00347,20251028,VEND-002,RT-01344,20.13,658.3,2,1968.12
SHP-00348,20251028,VEND-005,RT-00849,19.81,88.5,2,244.85
SHP-00349,20251028,VEND-008,RT-00560,10.01,490.4,0,190.15
SHP-00350,20251029,VEND-008,RT-00895,15.95,595.6,0,360.34
SHP-00351,20251029,VEND-025,RT-00513,6.46,343.5,3,335.98
SHP-00352,20251030,VEND-020,RT-01049,14.93,85.9,0,50.98
SHP-00353,20251030,VEND-009,RT-00415,2.95,844.0,2,339.1
SHP-00354,20251030,VEND-025,RT-01008,11.43,550.4,0,835.67
SHP-00355,20251030,VEND-013,RT-00627,5.39,528.0,0,241.44
SHP-00356,20251031,VEND-013,RT-00542,22.2,337.5,0,1016.63
SHP-00357,20251031,VEND-011,RT-00022,11.68,668.5,0,1116.9
SHP-00358,20251031,VEND-004,RT-01178,15.18,553.7,0,303.46
SHP-00359,20251101,VEND-024,RT-00564,9.65,595.1,0,217.14
SHP-00360,20251101,VEND-001,RT-00035,7.93,718.0,0,745.77
SHP-00361,20251101,VEND-005,RT-00941,5.87,57.3,0,12.27
SHP-00362,20251101,VEND-006,RT-00084,22.88,1093.9,0,3357.16
SHP-00363,20251101,VEND-007,RT-01151,20.19,131.8,0,107.84
SHP-00364,20251101,VEND-004,RT-00702,4.2,568.6,0,310.22
SHP-00365,20251101,VEND-001,RT-00048,18.92,288.5,1,415.64
SHP-00366,20251102,VEND-017,RT-00225,11.04,652.3,2,582.26
SHP-00367,20251102,VEND-025,RT-00263,1.37,372.3,0,79.18
SHP-00368,20251102,VEND-004,RT-00014,13.68,1039.0,0,1893.27
SHP-00369,20251102,VEND-008,RT-00472,4.12,505.8,0,302.24
SHP-00370,20251102,VEND-013,RT-00465,6.04,784.6,0,174.36
