Route_ID,Origin,Destination,Vehicle_Type,Weather_Condition,Traffic_Density
RT-00155,Antalya,Diyarbakir,Diesel Truck,Normal,High
RT-00156,Antalya,Diyarbakir,Diesel Truck,Normal,Low
RT-00157,Antalya,Diyarbakir,Diesel Truck,Normal,Medium
RT-00158,Antalya,Diyarbakir,Diesel Truck,Rain,High
RT-00159,Antalya,Diyarbakir,Diesel Truck,Rain,Low
RT-00160,Antalya,Diyarbakir,Diesel Truck,Snow,High
RT-00161,Antalya,Diyarbakir,Electric Semi,Normal,Medium
RT-00162,Antalya,Diyarbakir,Hybrid Van,Normal,Medium
RT-00163,Antalya,Diyarbakir,Hybrid Van,Rain,Medium
RT-00164,Antalya,Erzurum,Diesel Truck,Normal,High
RT-00165,Antalya,Erzurum,Diesel Truck,Normal,Medium
RT-00166,Antalya,Erzurum,Diesel Truck,Rain,High
RT-00167,Antalya,Erzurum,Hybrid Van,Normal,Low
RT-00168,Antalya,Eskisehir,Diesel Truck,Normal,High
RT-00169,Antalya,Eskisehir,Electric Semi,Normal,Low
RT-00170,Antalya,Eskisehir,Hybrid Van,Normal,High
RT-00171,Antalya,Gaziantep,Diesel Truck,Normal,Low
RT-00172,Antalya,Gaziantep,Diesel Truck,Rain,Medium
RT-00173,Antalya,Gaziantep,Electric Semi,Normal,High
RT-00174,Antalya,Gaziantep,Electric Semi,Normal,Low
RT-00175,Antalya,Gaziantep,Hybrid Van,Normal,Medium
RT-00176,Antalya,Istanbul,Diesel Truck,Normal,Medium
RT-00177,Antalya,Istanbul,Diesel Truck,Rain,Low
RT-00178,Antalya,Istanbul,Diesel Truck,Snow,Low
RT-00179,Antalya,Istanbul,Electric Semi,Normal,Medium
RT-00180,Antalya,Izmir,Diesel Truck,Normal,Low
RT-00181,Antalya,Izmir,Diesel Truck,Snow,High
RT-00182,Antalya,Izmir,Diesel Truck,Storm,Medium
RT-00183,Antalya,Kayseri,Diesel Truck,Snow,High
RT-00184,Antalya,Kayseri,Electric Semi,Normal,High
RT-00185,Antalya,Kayseri,Electric Semi,Normal,Medium
RT-00186,Antalya,Kayseri,Hybrid Van,Normal,Medium
RT-00187,Antalya,Kocaeli,Diesel Truck,Normal,High
RT-00188,Antalya,Kocaeli,Diesel Truck,Rain,Medium
RT-00189,Antalya,Kocaeli,Diesel Truck,Storm,Medium
RT-00190,Antalya,Kocaeli,Electric Semi,Snow,Low
RT-00191,Antalya,Konya,Diesel Truck,Rain,Medium
RT-00192,Antalya,Malatya,Diesel Truck,Normal,Low
RT-00193,Antalya,Malatya,Diesel Truck,Normal,Medium
RT-00194,Antalya,Malatya,Diesel Truck,Snow,High
RT-00195,Antalya,Malatya,Hybrid Van,Storm,Medium
RT-00196,Antalya,Mersin,Diesel Truck,Snow,High
RT-00197,Antalya,Mersin,Electric Semi,Rain,High
RT-00198,Antalya,Mersin,Hybrid Van,Snow,Medium
RT-00199,Antalya,Sakarya,Diesel Truck,Storm,High
RT-00200,Antalya,Sakarya,Electric Semi,Rain,Low
RT-00201,Antalya,Sakarya,Hybrid Van,Normal,Low
RT-00202,Antalya,Samsun,Diesel Truck,Normal,Low
RT-00203,Antalya,Samsun,Diesel Truck,Normal,Medium
RT-00204,Antalya,Samsun,Electric Semi,Normal,Low
RT-00205,Antalya,Samsun,Electric Semi,Rain,High
RT-00206,Antalya,Trabzon,Diesel Truck,Normal,High
RT-00207,Antalya,Trabzon,Diesel Truck,Normal,Medium
RT-00208,Antalya,Trabzon,Diesel Truck,Rain,Low
RT-00209,Antalya,Trabzon,Electric Semi,Normal,Low
RT-00210,Antalya,Trabzon,Electric Semi,Storm,Medium
RT-00211,Antalya,Trabzon,Hybrid Van,Normal,High
RT-00212,Antalya,Van,Diesel Truck,Normal,Medium
RT-00213,Antalya,Van,Diesel Truck,Snow,Low
RT-00214,Antalya,Van,Diesel Truck,Storm,Low
RT-00215,Antalya,Van,Diesel Truck,Storm,Medium
RT-00216,Bursa,Adana,Diesel Truck,Normal,Medium
RT-00217,Bursa,Adana,Diesel Truck,Snow,Low
RT-00218,Bursa,Adana,Electric Semi,Normal,Medium
RT-00219,Bursa,Ankara,Diesel Truck,Normal,High
RT-00220,Bursa,Ankara,Diesel Truck,Normal,Medium
RT-00221,Bursa,Ankara,Electric Semi,Snow,Low
RT-00222,Bursa,Ankara,Hybrid Van,Normal,Medium
RT-00223,Bursa,Antalya,Diesel Truck,Normal,Medium
RT-00224,Bursa,Antalya,Electric Semi,Storm,Medium
RT-00225,Bursa,Antalya,Hybrid Van,Rain,Low
RT-00226,Bursa,Denizli,Diesel Truck,Normal,High
RT-00227,Bursa,Denizli,Diesel Truck,Snow,Low
RT-00228,Bursa,Denizli,Electric Semi,Normal,Low
RT-00229,Bursa,Diyarbakir,Diesel Truck,Normal,Low
RT-00230,Bursa,Diyarbakir,Diesel Truck,Normal,Medium
RT-00231,Bursa,Diyarbakir,Hybrid Van,Rain,High
RT-00232,Bursa,Erzurum,Diesel Truck,Normal,Low
RT-00233,Bursa,Erzurum,Diesel Truck,Rain,Low
RT-00234,Bursa,Erzurum,Electric Semi,Normal,High
RT-00235,Bursa,Eskisehir,Diesel Truck,Normal,High
RT-00236,Bursa,Eskisehir,Diesel Truck,Rain,Medium
RT-00237,Bursa,Eskisehir,Diesel Truck,Snow,High
RT-00238,Bursa,Eskisehir,Electric Semi,Normal,Low
RT-00239,Bursa,Gaziantep,Diesel Truck,Rain,Medium
RT-00240,Bursa,Gaziantep,Electric Semi,Normal,Low
RT-00241,Bursa,Gaziantep,Electric Semi,Rain,Low
RT-00242,Bursa,Gaziantep,Hybrid Van,Rain,High
RT-00243,Bursa,Istanbul,Diesel Truck,Rain,Low
RT-00244,Bursa,Istanbul,Diesel Truck,Storm,High
RT-00245,Bursa,Istanbul,Diesel Truck,Storm,Medium
RT-00246,Bursa,Izmir,Diesel Truck,Normal,Medium
RT-00247,Bursa,Izmir,Diesel Truck,Rain,Medium
RT-00248,Bursa,Izmir,Diesel Truck,Storm,Medium
RT-00249,Bursa,Izmir,Electric Semi,Rain,Medium
RT-00250,Bursa,Kayseri,Diesel Truck,Normal,Low
RT-00251,Bursa,Kayseri,Diesel Truck,Normal,Medium
RT-00252,Bursa,Kayseri,Hybrid Van,Normal,Medium
RT-00253,Bursa,Kayseri,Hybrid Van,Rain,Medium
RT-00254,Bursa,Kocaeli,Diesel Truck,Normal,Low
RT-00255,Bursa,Kocaeli,Diesel Truck,Normal,Medium
RT-00256,Bursa,Kocaeli,Diesel Truck,Snow,Low
RT-00257,Bursa,Kocaeli,Electric Semi,Snow,Low
RT-00258,Bursa,Kocaeli,Hybrid Van,Normal,High
RT-00259,Bursa,Kocaeli,Hybrid Van,Normal,Low
RT-00260,Bursa,Kocaeli,Hybrid Van,Normal,Medium
RT-00261,Bursa,Konya,Diesel Truck,Normal,Low
RT-00262,Bursa,Konya,Diesel Truck,Rain,Low
RT-00263,Bursa,Konya,Diesel Truck,Rain,Medium
RT-00264,Bursa,Konya,Hybrid Van,Rain,Medium
RT-00265,Bursa,Malatya,Diesel Truck,Normal,Medium
RT-00266,Bursa,Malatya,Electric Semi,Normal,High
RT-00267,Bursa,Malatya,Electric Semi,Snow,High
RT-00268,Bursa,Malatya,Electric Semi,Snow,Medium
RT-00269,Bursa,Mersin,Diesel Truck,Normal,High
RT-00270,Bursa,Mersin,Diesel Truck,Normal,Medium
RT-00271,Bursa,Sakarya,Diesel Truck,Normal,High
RT-00272,Bursa,Sakarya,Diesel Truck,Rain,Medium
RT-00273,Bursa,Sakarya,Hybrid Van,Normal,High
RT-00274,Bursa,Samsun,Diesel Truck,Normal,Low
RT-00275,Bursa,Samsun,Diesel Truck,Normal,Medium
RT-00276,Bursa,Samsun,Diesel Truck,Rain,Medium
RT-00277,Bursa,Samsun,Hybrid Van,Rain,Low
RT-00278,Bursa,Samsun,Hybrid Van,Snow,Medium
RT-00279,Bursa,Trabzon,Diesel Truck,Normal,Low
RT-00280,Bursa,Trabzon,Diesel Truck,Normal,Medium
RT-00281,Bursa,Trabzon,Diesel Truck,Rain,Low
RT-00282,Bursa,Trabzon,Hybrid Van,Normal,Low
RT-00283,Bursa,Van,Diesel Truck,Normal,Low
RT-00284,Bursa,Van,Diesel Truck,Normal,Medium
RT-00285,Bursa,Van,Electric Semi,Snow,Medium
RT-00286,Denizli,Adana,Electric Semi,Snow,Medium
RT-00287,Denizli,Adana,Hybrid Van,Rain,High
RT-00288,Denizli,Ankara,Diesel Truck,Rain,Low
RT-00289,Denizli,Ankara,Electric Semi,Rain,Low
RT-00290,Denizli,Ankara,Hybrid Van,Normal,Low
RT-00291,Denizli,Antalya,Diesel Truck,Normal,Low
RT-00292,Denizli,Antalya,Diesel Truck,Normal,Medium
RT-00293,Denizli,Antalya,Hybrid Van,Normal,Low
RT-00294,Denizli,Antalya,Hybrid Van,Normal,Medium
RT-00295,Denizli,Bursa,Diesel Truck,Normal,Low
RT-00296,Denizli,Bursa,Electric Semi,Normal,High
RT-00297,Denizli,Bursa,Electric Semi,Rain,High
RT-00298,Denizli,Bursa,Electric Semi,Snow,Low
RT-00299,Denizli,Diyarbakir,Diesel Truck,Normal,High
RT-00300,Denizli,Diyarbakir,Diesel Truck,Normal,Low
RT-00301,Denizli,Diyarbakir,Diesel Truck,Normal,Medium
RT-00302,Denizli,Diyarbakir,Electric Semi,Rain,Low
RT-00303,Denizli,Diyarbakir,Hybrid Van,Normal,High
RT-00304,Denizli,Diyarbakir,Hybrid Van,Rain,Medium
RT-00305,Denizli,Erzurum,Diesel Truck,Normal,High
RT-00306,Denizli,Erzurum,Diesel Truck,Normal,Medium
RT-00307,Denizli,Erzurum,Hybrid Van,Rain,Low
RT-00308,Denizli,Eskisehir,Diesel Truck,Normal,Low
RT-00309,Denizli,Eskisehir,Diesel Truck,Normal,Medium
RT-00310,Denizli,Eskisehir,Diesel Truck,Snow,Low
RT-00311,Denizli,Eskisehir,Electric Semi,Normal,Medium
RT-00312,Denizli,Eskisehir,Electric Semi,Rain,Medium
RT-00313,Denizli,Gaziantep,Diesel Truck,Rain,Low
RT-00314,Denizli,Gaziantep,Diesel Truck,Rain,Medium
RT-00315,Denizli,Istanbul,Diesel Truck,Normal,Low
RT-00316,Denizli,Istanbul,Electric Semi,Snow,Low
RT-00317,Denizli,Izmir,Diesel Truck,Rain,Medium
RT-00318,Denizli,Izmir,Electric Semi,Storm,High
RT-00319,Denizli,Izmir,Hybrid Van,Normal,High
RT-00320,Denizli,Izmir,Hybrid Van,Normal,Medium
RT-00321,Denizli,Kayseri,Diesel Truck,Normal,High
RT-00322,Denizli,Kayseri,Diesel Truck,Normal,Low
RT-00323,Denizli,Kayseri,Diesel Truck,Rain,Low
RT-00324,Denizli,Kayseri,Electric Semi,Normal,Medium
RT-00325,Denizli,Kocaeli,Diesel Truck,Normal,Low
RT-00326,Denizli,Konya,Diesel Truck,Normal,High
RT-00327,Denizli,Konya,Electric Semi,Normal,High
RT-00328,Denizli,Konya,Hybrid Van,Normal,Medium
RT-00329,Denizli,Konya,Hybrid Van,Rain,High
RT-00330,Denizli,Konya,Hybrid Van,Storm,High
RT-00331,Denizli,Malatya,Diesel Truck,Rain,Medium
RT-00332,Denizli,Malatya,Electric Semi,Normal,Low
RT-00333,Denizli,Malatya,Electric Semi,Normal,Medium
RT-00334,Denizli,Mersin,Diesel Truck,Normal,High
RT-00335,Denizli,Mersin,Diesel Truck,Snow,Low
RT-00336,Denizli,Mersin,Hybrid Van,Snow,Medium
RT-00337,Denizli,Sakarya,Diesel Truck,Storm,Medium
RT-00338,Denizli,Sakarya,Electric Semi,Storm,Low
RT-00339,Denizli,Samsun,Diesel Truck,Rain,High
RT-00340,Denizli,Samsun,Diesel Truck,Snow,Low
RT-00341,Denizli,Trabzon,Diesel Truck,Normal,High
RT-00342,Denizli,Trabzon,Diesel Truck,Normal,Low
RT-00343,Denizli,Trabzon,Diesel Truck,Normal,Medium
RT-00344,Denizli,Trabzon,Electric Semi,Normal,Low
RT-00345,Denizli,Trabzon,Electric Semi,Snow,Medium
RT-00346,Denizli,Van,Diesel Truck,Normal,High
RT-00347,Denizli,Van,Diesel Truck,Normal,Low
RT-00348,Denizli,Van,Diesel Truck,Normal,Medium
RT-00349,Denizli,Van,Diesel Truck,Snow,Medium
RT-00350,Denizli,Van,Hybrid Van,Normal,Low
RT-00351,Diyarbakir,Adana,Diesel Truck,Normal,Low
RT-00352,Diyarbakir,Adana,Diesel Truck,Snow,Low
RT-00353,Diyarbakir,Adana,Hybrid Van,Normal,Low
RT-00354,Diyarbakir,Ankara,Diesel Truck,Normal,Medium
RT-00355,Diyarbakir,Ankara,Diesel Truck,Snow,Medium
RT-00356,Diyarbakir,Ankara,Electric Semi,Normal,Medium
RT-00357,Diyarbakir,Antalya,Diesel Truck,Normal,Medium
RT-00358,Diyarbakir,Antalya,Diesel Truck,Rain,Medium
RT-00359,Diyarbakir,Antalya,Electric Semi,Normal,High
RT-00360,Diyarbakir,Antalya,Hybrid Van,Normal,Medium
RT-00361,Diyarbakir,Antalya,Hybrid Van,Rain,High
RT-00362,Diyarbakir,Antalya,Hybrid Van,Snow,Medium
RT-00363,Diyarbakir,Bursa,Diesel Truck,Normal,High
RT-00364,Diyarbakir,Bursa,Diesel Truck,Normal,Low
RT-00365,Diyarbakir,Bursa,Diesel Truck,Rain,Low
RT-00366,Diyarbakir,Bursa,Hybrid Van,Normal,High
RT-00367,Diyarbakir,Bursa,Hybrid Van,Normal,Low
RT-00368,Diyarbakir,Denizli,Diesel Truck,Normal,High
RT-00369,Diyarbakir,Denizli,Diesel Truck,Rain,High
RT-00370,Diyarbakir,Denizli,Diesel Truck,Rain,Medium
RT-00371,Diyarbakir,Denizli,Hybrid Van,Normal,Medium
RT-00372,Diyarbakir,Erzurum,Diesel Truck,Normal,Medium
RT-00373,Diyarbakir,Erzurum,Diesel Truck,Storm,Medium
RT-00374,Diyarbakir,Eskisehir,Diesel Truck,Normal,Medium
RT-00375,Diyarbakir,Eskisehir,Diesel Truck,Rain,Low
RT-00376,Diyarbakir,Eskisehir,Hybrid Van,Normal,Medium
RT-00377,Diyarbakir,Gaziantep,Diesel Truck,Normal,Low
RT-00378,Diyarbakir,Gaziantep,Diesel Truck,Normal,Medium
RT-00379,Diyarbakir,Gaziantep,Diesel Truck,Rain,High
RT-00380,Diyarbakir,Gaziantep,Hybrid Van,Normal,Medium
RT-00381,Diyarbakir,Gaziantep,Hybrid Van,Rain,Medium
RT-00382,Diyarbakir,Istanbul,Diesel Truck,Normal,High
RT-00383,Diyarbakir,Istanbul,Diesel Truck,Snow,Medium
RT-00384,Diyarbakir,Istanbul,Diesel Truck,Storm,Medium
RT-00385,Diyarbakir,Istanbul,Electric Semi,Normal,High
RT-00386,Diyarbakir,Istanbul,Hybrid Van,Normal,High
RT-00387,Diyarbakir,Izmir,Diesel Truck,Normal,High
RT-00388,Diyarbakir,Izmir,Diesel Truck,Normal,Low
RT-00389,Diyarbakir,Izmir,Electric Semi,Rain,High
RT-00390,Diyarbakir,Izmir,Electric Semi,Storm,High
RT-00391,Diyarbakir,Kayseri,Diesel Truck,Normal,Low
RT-00392,Diyarbakir,Kayseri,Electric Semi,Normal,Medium
RT-00393,Diyarbakir,Kayseri,Hybrid Van,Normal,Medium
RT-00394,Diyarbakir,Kayseri,Hybrid Van,Snow,Medium
RT-00395,Diyarbakir,Kocaeli,Diesel Truck,Normal,Low
RT-00396,Diyarbakir,Konya,Diesel Truck,Normal,Medium
RT-00397,Diyarbakir,Konya,Diesel Truck,Rain,Low
RT-00398,Diyarbakir,Konya,Diesel Truck,Rain,Medium
RT-00399,Diyarbakir,Konya,Electric Semi,Normal,Low
RT-00400,Diyarbakir,Konya,Electric Semi,Storm,Medium
RT-00401,Diyarbakir,Konya,Hybrid Van,Normal,Medium
RT-00402,Diyarbakir,Malatya,Diesel Truck,Normal,Medium
RT-00403,Diyarbakir,Malatya,Diesel Truck,Snow,Low
RT-00404,Diyarbakir,Malatya,Hybrid Van,Normal,High
RT-00405,Diyarbakir,Mersin,Diesel Truck,Normal,Low
RT-00406,Diyarbakir,Mersin,Diesel Truck,Normal,Medium
RT-00407,Diyarbakir,Mersin,Diesel Truck,Snow,High
RT-00408,Diyarbakir,Mersin,Electric Semi,Normal,Low
RT-00409,Diyarbakir,Mersin,Hybrid Van,Storm,Medium
RT-00410,Diyarbakir,Sakarya,Diesel Truck,Normal,High
RT-00411,Diyarbakir,Sakarya,Diesel Truck,Normal,Medium
RT-00412,Diyarbakir,Sakarya,Diesel Truck,Rain,Medium
RT-00413,Diyarbakir,Sakarya,Electric Semi,Snow,High
RT-00414,Diyarbakir,Sakarya,Hybrid Van,Rain,High
RT-00415,Diyarbakir,Samsun,Diesel Truck,Normal,Low
RT-00416,Diyarbakir,Samsun,Diesel Truck,Rain,Low
RT-00417,Diyarbakir,Samsun,Electric Semi,Storm,High
RT-00418,Diyarbakir,Samsun,Hybrid Van,Normal,Low
RT-00419,Diyarbakir,Trabzon,Diesel Truck,Normal,Low
RT-00420,Diyarbakir,Trabzon,Diesel Truck,Rain,High
RT-00421,Diyarbakir,Trabzon,Hybrid Van,Snow,Low
RT-00422,Diyarbakir,Trabzon,Hybrid Van,Storm,High
RT-00423,Diyarbakir,Van,Electric Semi,Normal,Low
RT-00424,Erzurum,Adana,Diesel Truck,Normal,Medium
RT-00425,Erzurum,Adana,Diesel Truck,Snow,Medium
RT-00426,Erzurum,Adana,Electric Semi,Normal,High
RT-00427,Erzurum,Ankara,Diesel Truck,Normal,Low
RT-00428,Erzurum,Ankara,Electric Semi,Normal,Low
RT-00429,Erzurum,Ankara,Electric Semi,Rain,Low
RT-00430,Erzurum,Antalya,Diesel Truck,Snow,High
RT-00431,Erzurum,Antalya,Diesel Truck,Snow,Low
RT-00432,Erzurum,Antalya,Hybrid Van,Normal,Low
RT-00433,Erzurum,Bursa,Diesel Truck,Normal,High
RT-00434,Erzurum,Bursa,Electric Semi,Normal,High
RT-00435,Erzurum,Bursa,Hybrid Van,Normal,Low
RT-00436,Erzurum,Denizli,Diesel Truck,Normal,Low
RT-00437,Erzurum,Denizli,Electric Semi,Normal,High
