Shipment_ID,Date_ID,Vendor_ID,Route_ID,Weight_tons,Distance_km,Actual_Delay_Days,CO2_Emission_kg,Delay_Risk_Probability,Risk_Level
SHP-00101,20250828,VEND-022,RT-61aceb9c42,10.88,1323.5,1,2009.23,0.25,Medium Risk
SHP-00102,20250828,VEND-008,RT-1afc27f37b,8.49,428.5,0,516.83,0.08,Low Risk
SHP-00103,20250828,VEND-023,RT-307f59cf09,8.82,681.0,0,847.58,0.1,Low Risk
SHP-00104,20250829,VEND-008,RT-ae9c9a0bf6,17.51,604.1,0,1437.16,0.07,Low Risk
SHP-00105,20250829,VEND-011,RT-337a44280c,1.98,329.4,1,97.65,0.23,Medium Risk
SHP-00106,20250830,VEND-017,RT-6aaead2aa2,17.36,537.4,2,1221.93,0.07,Low Risk
SHP-00107,20250830,VEND-004,RT-cdc493fbd3,5.83,763.3,0,566.17,0.06,Low Risk
SHP-00108,20250831,VEND-014,RT-13746d025e,10.22,645.1,0,232.99,0.07,Low Risk
SHP-00109,20250831,VEND-013,RT-addf6c4a27,4.52,491.7,1,194.1,0.29,Medium Risk
SHP-00110,20250831,VEND-020,RT-bd1289fab6,14.27,593.5,0,319.67,0.04,Low Risk
SHP-00111,20250831,VEND-025,RT-d694fb4244,18.5,391.5,0,268.7,0.11,Low Risk
SHP-00112,20250901,VEND-017,RT-dd8fafb807,9.51,1185.8,2,1556.38,0.08,Low Risk
SHP-00113,20250901,VEND-011,RT-9fe27aab0f,4.92,892.6,0,634.32,0.42,Medium Risk
SHP-00114,20250902,VEND-011,RT-1abe8410eb,6.44,1031.9,0,530.24,0.09,Low Risk
SHP-00115,20250902,VEND-011,RT-904f99d596,20.63,258.5,3,852.88,0.81,High Risk
SHP-00116,20250902,VEND-021,RT-761c3198d4,7.42,1411.3,0,1453.9,0.3,Medium Risk
SHP-00117,20250903,VEND-009,RT-0259f7bb9d,19.59,553.0,0,956.0,0.41,Medium Risk
SHP-00118,20250903,VEND-005,RT-105afac7e7,8.95,651.1,3,536.38,0.3,Medium Risk
SHP-00119,20250903,VEND-009,RT-59634939a5,5.53,903.5,2,692.2,0.51,High Risk
SHP-00120,20250904,VEND-001,RT-8c5292624f,18.46,621.7,0,394.78,0.25,Medium Risk
SHP-00121,20250904,VEND-003,RT-f48f2e173d,12.25,619.8,0,978.74,0.02,Low Risk
SHP-00122,20250904,VEND-003,RT-e42ce95473,1.75,983.4,0,230.39,0.05,Low Risk
SHP-00123,20250905,VEND-020,RT-1a4a57aca7,24.04,961.7,0,3089.91,0.1,Low Risk
SHP-00124,20250905,VEND-019,RT-60edb57540,4.55,355.0,0,233.29,0.08,Low Risk
SHP-00125,20250905,VEND-018,RT-e1194131e9,9.48,234.6,2,91.3,0.89,High Risk
SHP-00126,20250905,VEND-012,RT-2814521acb,10.24,890.3,0,343.33,0.26,Medium Risk
SHP-00127,20250906,VEND-018,RT-fbb7f0dff8,12.75,474.2,0,839.46,0.56,High Risk
SHP-00128,20250906,VEND-005,RT-0fc9ef7384,19.85,1531.6,1,2694.31,0.31,Medium Risk
SHP-00129,20250906,VEND-023,RT-b3b8987f50,1.15,881.3,0,136.9,0.13,Low Risk
SHP-00130,20250906,VEND-013,RT-db36beed80,23.38,1260.8,0,3938.19,0.12,Low Risk
SHP-00131,20250906,VEND-024,RT-9b80acd612,16.5,960.0,0,2211.83,0.11,Low Risk
SHP-00132,20250907,VEND-004,RT-dce272c8dc,23.82,337.5,0,1104.81,0.08,Low Risk
SHP-00133,20250907,VEND-013,RT-2abd7b5435,20.62,231.6,0,654.07,0.02,Low Risk
SHP-00134,20250907,VEND-018,RT-fa7666f7f9,23.27,609.3,3,2065.3,0.32,Medium Risk
SHP-00135,20250908,VEND-013,RT-1863b483f0,15.42,319.1,0,426.31,0.07,Low Risk
SHP-00136,20250908,VEND-012,RT-d9c5e3933a,9.58,556.1,0,180.54,0.07,Low Risk
SHP-00137,20250909,VEND-005,RT-688cc46603,11.63,746.7,0,333.62,0.38,Medium Risk
SHP-00138,20250910,VEND-010,RT-b20aa27593,16.79,398.4,1,956.98,0.84,High Risk
SHP-00139,20250910,VEND-006,RT-dd3089098e,11.25,391.2,0,341.79,0.06,Low Risk
SHP-00140,20250910,VEND-008,RT-77aa52405d,18.56,628.0,0,1687.56,0.06,Low Risk
SHP-00141,20250911,VEND-018,RT-0f0e46ddc4,3.2,627.1,0,270.72,0.14,Low Risk
SHP-00142,20250911,VEND-016,RT-6f93dc2f02,20.92,1206.1,0,2025.77,0.12,Low Risk
SHP-00143,20250911,VEND-016,RT-21559630dc,5.9,482.7,0,236.83,0.1,Low Risk
SHP-00144,20250911,VEND-010,RT-749caac497,23.65,1001.3,2,3484.12,0.11,Low Risk
SHP-00145,20250911,VEND-024,RT-3b5f662070,4.73,1039.1,0,702.49,0.06,Low Risk
SHP-00146,20250911,VEND-003,RT-6a1047d9f8,4.1,601.4,0,213.48,0.17,Low Risk
SHP-00147,20250912,VEND-009,RT-3b3bb9ff11,20.49,819.1,0,1407.35,0.15,Low Risk
SHP-00148,20250912,VEND-003,RT-61ce102a0d,20.65,221.7,0,193.59,0.11,Low Risk
SHP-00149,20250912,VEND-009,RT-8f3aa30891,18.73,1206.2,1,3029.13,0.45,Medium Risk
SHP-00150,20250913,VEND-025,RT-0f570920d4,24.05,578.1,0,1724.56,0.03,Low Risk
SHP-00151,20250913,VEND-010,RT-8d7e810259,7.49,955.2,0,241.45,0.06,Low Risk
SHP-00152,20250913,VEND-023,RT-81bb400079,20.84,698.1,0,2122.08,0.07,Low Risk
SHP-00153,20250913,VEND-013,RT-ba89133d4d,9.45,805.9,0,669.83,0.19,Low Risk
SHP-00154,20250913,VEND-018,RT-636908aa95,13.9,348.5,2,663.59,0.34,Medium Risk
SHP-00155,20250914,VEND-012,RT-9fa87092e7,11.69,1198.2,0,1147.88,0.07,Low Risk
SHP-00156,20250914,VEND-007,RT-ba7071915c,1.14,333.4,0,34.71,0.17,Low Risk
SHP-00157,20250914,VEND-020,RT-2d0d6d7f31,14.79,1182.7,0,2410.57,0.22,Medium Risk
SHP-00158,20250914,VEND-025,RT-f46db3bca5,18.94,324.0,0,244.15,0.19,Low Risk
SHP-00159,20250915,VEND-007,RT-2bc556fdb5,5.19,640.6,0,302.4,0.22,Medium Risk
SHP-00160,20250915,VEND-020,RT-3fe18ccb7a,23.36,776.5,0,2615.73,0.09,Low Risk
SHP-00161,20250915,VEND-007,RT-b3a9246297,13.73,453.3,1,232.41,0.04,Low Risk
SHP-00162,20250916,VEND-018,RT-de82506e87,5.28,467.8,1,361.31,0.5,High Risk
SHP-00163,20250916,VEND-020,RT-aec99a4010,16.5,351.3,0,756.01,0.1,Low Risk
SHP-00164,20250916,VEND-012,RT-20b9faf86b,5.61,441.9,0,203.53,0.08,Low Risk
SHP-00165,20250916,VEND-019,RT-c18066771f,2.52,733.1,2,241.66,0.03,Low Risk
SHP-00166,20250917,VEND-007,RT-97499b37e5,17.45,1365.0,0,3188.94,0.15,Low Risk
SHP-00167,20250917,VEND-002,RT-10cefd379e,3.66,989.6,0,141.15,0.32,Medium Risk
SHP-00168,20250917,VEND-003,RT-8b6016162e,3.55,418.6,0,204.83,0.05,Low Risk
SHP-00169,20250917,VEND-012,RT-a4708fee9f,18.76,541.9,3,924.7,0.05,Low Risk
SHP-00170,20250918,VEND-023,RT-26a8aeb5e1,2.32,1329.1,0,259.25,0.1,Low Risk
SHP-00171,20250918,VEND-004,RT-c8e953691c,20.43,1693.1,0,4599.09,0.12,Low Risk
SHP-00172,20250918,VEND-012,RT-628fd211f3,20.11,637.1,0,1679.44,0.06,Low Risk
SHP-00173,20250918,VEND-018,RT-ca14637242,4.39,610.5,2,374.02,0.45,Medium Risk
SHP-00174,20250918,VEND-006,RT-8eca020546,13.44,1214.3,0,568.95,0.09,Low Risk
SHP-00175,20250919,VEND-019,RT-8f48178403,3.32,722.9,0,352.07,0.07,Low Risk
SHP-00176,20250919,VEND-008,RT-23ab4b2e00,16.18,424.2,0,246.0,0.1,Low Risk
SHP-00177,20250919,VEND-021,RT-e0de24df37,2.51,145.3,0,33.79,0.08,Low Risk
SHP-00178,20250919,VEND-015,RT-6b73bc42f5,23.67,437.8,0,1610.97,0.41,Medium Risk
SHP-00179,20250919,VEND-014,RT-7dc637a23e,5.99,570.8,0,492.68,0.13,Low Risk
SHP-00180,20250920,VEND-005,RT-86a71ee8f7,17.39,226.2,1,160.01,0.26,Medium Risk
SHP-00181,20250920,VEND-012,RT-061ba220b7,4.08,579.5,0,320.78,0.03,Low Risk
SHP-00182,20250920,VEND-022,RT-fa3738b4fe,6.03,130.9,0,73.81,0.09,Low Risk
SHP-00183,20250920,VEND-001,RT-dd5fe68896,11.82,118.7,0,56.29,0.12,Low Risk
SHP-00184,20250921,VEND-019,RT-64d5c219bd,14.75,352.1,0,697.5,0.08,Low Risk
SHP-00185,20250921,VEND-013,RT-98b28d90bc,24.97,968.8,0,3243.87,0.12,Low Risk
SHP-00186,20250921,VEND-018,RT-08011578e9,1.62,393.3,2,88.72,0.24,Medium Risk
SHP-00187,20250921,VEND-017,RT-e099619ab9,1.01,287.6,1,11.24,0.12,Low Risk
SHP-00188,20250922,VEND-011,RT-16320f9147,9.41,138.1,0,123.27,0.16,Low Risk
SHP-00189,20250922,VEND-008,RT-d644194dbc,9.79,399.3,0,319.44,0.1,Low Risk
SHP-00190,20250922,VEND-016,RT-5094289c01,22.21,468.9,0,1491.46,0.31,Medium Risk
SHP-00191,20250922,VEND-004,RT-a099a09200,22.9,1226.8,0,1096.78,0.16,Low Risk
SHP-00192,20250922,VEND-015,RT-9b80acd612,22.13,927.6,0,3025.34,0.21,Medium Risk
SHP-00193,20250923,VEND-003,RT-36a9a3ef11,4.44,887.3,0,345.66,0.23,Medium Risk
SHP-00194,20250923,VEND-017,RT-46ca6e85ab,10.89,168.4,0,240.56,0.09,Low Risk
SHP-00195,20250923,VEND-016,RT-11644546be,18.9,668.8,0,1669.99,0.1,Low Risk
SHP-00196,20250923,VEND-003,RT-44c157a309,8.5,953.0,1,290.99,0.15,Low Risk
SHP-00197,20250924,VEND-019,RT-546108983e,16.92,328.1,0,702.74,0.07,Low Risk
SHP-00198,20250924,VEND-011,RT-d1d4109bb2,6.69,393.0,0,235.87,0.09,Low Risk
SHP-00199,20250925,VEND-020,RT-a53e8839e0,8.76,542.1,1,628.81,0.2,Medium Risk
SHP-00200,20250925,VEND-002,RT-e93243aa9f,21.65,1144.7,0,3258.82,0.1,Low Risk
SHP-00201,20250925,VEND-005,RT-232f640f0a,7.01,730.0,0,426.8,0.51,High Risk
SHP-00202,20250925,VEND-013,RT-93a63d81fc,24.14,502.8,0,1011.65,0.05,Low Risk
SHP-00203,20250925,VEND-005,RT-fdcb1ac27a,8.35,1568.8,0,1599.72,0.43,Medium Risk
SHP-00204,20250926,VEND-009,RT-f18666a1ec,1.56,822.9,1,114.86,0.35,Medium Risk
SHP-00205,20250926,VEND-017,RT-fd4e1dee31,7.12,471.7,2,284.11,0.25,Medium Risk
SHP-00206,20250927,VEND-004,RT-0aefe18063,5.11,169.2,0,130.0,0.09,Low Risk
SHP-00207,20250927,VEND-017,RT-8b0f316258,13.16,1042.8,0,1825.91,0.08,Low Risk
SHP-00208,20250928,VEND-003,RT-9d709cacba,3.71,1259.1,0,652.03,0.06,Low Risk
SHP-00209,20250928,VEND-005,RT-15ffb89306,16.03,222.9,0,290.93,0.17,Low Risk
SHP-00210,20250928,VEND-015,RT-ed12617481,22.0,123.6,0,353.82,0.12,Low Risk
SHP-00211,20250929,VEND-020,RT-d41996745b,9.7,862.2,0,1085.34,0.04,Low Risk
SHP-00212,20250929,VEND-005,RT-1230553018,5.04,106.2,0,48.82,0.24,Medium Risk
SHP-00213,20250929,VEND-008,RT-bff010e57b,10.6,474.1,0,731.32,0.1,Low Risk
SHP-00214,20250929,VEND-024,RT-eef8b38ab6,19.86,44.7,0,135.03,0.14,Low Risk
SHP-00215,20250929,VEND-025,RT-7c1e6ebe66,15.2,930.4,0,1169.38,0.23,Medium Risk
SHP-00216,20250929,VEND-015,RT-653b3a7d79,3.43,449.9,0,127.07,0.12,Low Risk
SHP-00217,20250930,VEND-012,RT-995b28e068,13.89,512.9,0,608.52,0.11,Low Risk
SHP-00218,20250930,VEND-009,RT-eacda3e432,12.23,1268.6,1,2061.8,0.34,Medium Risk
SHP-00219,20250930,VEND-016,RT-e3e5dc252b,8.85,76.4,0,93.97,0.11,Low Risk
SHP-00220,20250930,VEND-015,RT-eeca7b929a,3.64,1254.8,0,675.31,0.32,Medium Risk
SHP-00221,20251001,VEND-008,RT-c5b0b85bd5,24.55,863.9,0,2767.77,0.05,Low Risk
SHP-00222,20251001,VEND-001,RT-33bcb8a39c,5.23,499.4,0,369.86,0.11,Low Risk
SHP-00223,20251001,VEND-004,RT-2a85061698,5.63,766.4,0,397.87,0.11,Low Risk
SHP-00224,20251001,VEND-024,RT-ba8e94f54e,4.49,317.0,0,111.72,0.07,Low Risk
SHP-00225,20251002,VEND-011,RT-37170bfe29,14.68,882.7,0,1724.58,0.07,Low Risk
SHP-00226,20251002,VEND-013,RT-f48f2e173d,11.65,614.5,0,973.37,0.05,Low Risk
SHP-00227,20251002,VEND-012,RT-aee2ec7ed1,6.99,837.1,0,217.62,0.05,Low Risk
SHP-00228,20251003,VEND-020,RT-bd9093e5d3,11.31,973.1,0,1537.42,0.05,Low Risk
SHP-00229,20251003,VEND-002,RT-00a76590ca,17.16,674.9,0,461.65,0.66,High Risk
SHP-00230,20251003,VEND-003,RT-7648b04fa7,7.76,594.8,0,616.39,0.02,Low Risk
SHP-00231,20251003,VEND-007,RT-64161f4a59,22.97,656.2,1,542.03,0.08,Low Risk
SHP-00232,20251003,VEND-013,RT-0004cf6c4f,8.35,1587.6,2,1977.32,0.17,Low Risk
SHP-00233,20251003,VEND-017,RT-6ea008aee5,5.76,1560.0,0,1222.79,0.3,Medium Risk
SHP-00234,20251004,VEND-013,RT-06d2cd2fe1,23.91,299.5,0,671.77,0.3,Medium Risk
SHP-00235,20251004,VEND-012,RT-950482d123,20.45,668.3,0,1881.66,0.06,Low Risk
SHP-00236,20251004,VEND-024,RT-6e7eac0945,9.24,856.2,0,1094.81,0.09,Low Risk
SHP-00237,20251004,VEND-005,RT-4ae2e56113,21.19,399.9,0,318.86,0.55,High Risk
SHP-00238,20251004,VEND-015,RT-5048013676,13.45,657.6,0,1192.23,0.09,Low Risk
SHP-00239,20251004,VEND-014,RT-08bcbd4596,9.32,900.4,0,1081.69,0.04,Low Risk
SHP-00240,20251005,VEND-012,RT-f0af7b2356,21.15,529.8,0,1553.69,0.06,Low Risk
SHP-00241,20251005,VEND-021,RT-24fbeba960,19.05,286.2,0,771.87,0.22,Medium Risk
SHP-00242,20251005,VEND-007,RT-6666d73beb,8.15,402.9,1,289.63,0.09,Low Risk
SHP-00243,20251005,VEND-024,RT-68a5ff677e,15.56,530.0,1,1147.83,0.06,Low Risk
SHP-00244,20251006,VEND-009,RT-9b39415497,9.87,476.0,1,396.29,0.25,Medium Risk
SHP-00245,20251006,VEND-014,RT-a9699e0ac5,1.03,1186.8,0,46.82,0.08,Low Risk
SHP-00246,20251007,VEND-014,RT-076ef68a1c,24.08,776.0,0,2524.47,0.12,Low Risk
SHP-00247,20251007,VEND-022,RT-ee8be72d66,14.19,454.6,0,899.89,0.23,Medium Risk
SHP-00248,20251007,VEND-011,RT-f56049e26b,15.36,627.2,0,1274.82,0.07,Low Risk
SHP-00249,20251007,VEND-008,RT-212c9109dc,15.4,951.8,0,2103.68,0.21,Medium Risk
SHP-00250,20251008,VEND-001,RT-a7cdada9ed,14.22,1203.3,0,2225.6,0.05,Low Risk
SHP-00251,20251008,VEND-010,RT-f9e71043c5,7.96,891.9,0,587.1,0.1,Low Risk
SHP-00252,20251008,VEND-021,RT-ab41c50a52,24.32,1719.8,0,5800.4,0.11,Low Risk
SHP-00253,20251009,VEND-001,RT-c85fce42ec,15.92,493.8,0,289.83,0.47,Medium Risk
SHP-00254,20251009,VEND-023,RT-529fa26ec6,17.1,330.5,0,803.97,0.4,Medium Risk
SHP-00255,20251009,VEND-014,RT-162f9d8ee6,11.92,164.0,0,77.21,0.34,Medium Risk
SHP-00256,20251009,VEND-004,RT-7c0728f0fe,7.91,456.4,0,487.4,0.55,High Risk
SHP-00257,20251010,VEND-008,RT-d10228d14c,2.54,639.8,0,223.58,0.3,Medium Risk
SHP-00258,20251010,VEND-014,RT-d02fb41994,9.41,1155.2,0,919.68,0.05,Low Risk
SHP-00259,20251010,VEND-008,RT-a004c18a93,5.23,776.5,0,583.24,0.05,Low Risk
SHP-00260,20251010,VEND-003,RT-76b6f0c3de,16.89,231.6,0,361.31,0.47,Medium Risk
SHP-00261,20251011,VEND-017,RT-36a2695ca7,22.1,1026.2,0,3223.68,0.05,Low Risk
SHP-00262,20251011,VEND-017,RT-011b2e6a79,8.27,231.3,0,159.66,0.07,Low Risk
SHP-00263,20251011,VEND-003,RT-a611ba2b22,8.99,335.8,0,435.95,0.53,High Risk
SHP-00264,20251011,VEND-008,RT-64864d4234,17.09,620.5,0,1420.94,0.05,Low Risk
